,Superficie,Precio Venta,Fecha Venta,Vendedor
76,112,1104992,2004-06-25,Pedro
77,87,448485,2004-10-04,María
78,298,2520484,2004-11-27,Carmen
79,217,1339107,2004-10-05,Carmen
80,236,1812244,2004-11-17,Pedro
81,117,1069731,2004-09-14,Pedro
82,56,471072,2004-05-29,María
83,94,470940,2004-07-28,Carmen
84,127,925322,2004-06-03,Joaquín
85,275,2141700,2005-01-08,Jesús
86,93,778875,2004-05-12,Luisa
87,58,421196,2004-10-10,Pedro
88,49,219716,2004-09-27,Jesús
89,292,2685816,2004-07-24,Pedro
90,123,723609,2004-12-16,Joaquín
91,48,388032,2004-05-06,Jesús
92,132,922020,2004-10-23,Joaquín
93,177,965358,2004-06-08,Luisa
94,68,663816,2004-05-23,Joaquín
95,103,728931,2005-02-05,Jesús
96,96,625536,2004-11-07,Jesús
97,227,1467782,2005-02-01,Carmen
98,251,2067236,2004-12-22,María
99,125,531375,2004-06-23,Jesús
100,162,710694,2004-09-27,María
101,45,438435,2004-05-23,Luisa
102,258,1188090,2004-07-19,María
103,104,699400,2004-07-14,Luisa
104,238,1854496,2005-02-02,Luisa
105,300,2105700,2005-01-26,Pedro
106,222,1791318,2004-12-13,Jesús
107,187,1782297,2004-12-20,Joaquín
108,300,1528200,2004-08-09,Pedro
109,206,1587642,2004-12-20,Luisa
110,162,954666,2004-11-25,Joaquín
111,160,1064800,2004-09-22,Pedro
112,89,887241,2005-01-02,Luisa
113,103,806799,2005-01-11,Joaquín
114,54,438750,2004-08-15,Carmen
115,103,973659,2005-01-04,Jesús
116,274,1724008,2004-09-26,Joaquín
117,253,2047276,2004-09-10,Luisa
118,51,307989,2004-07-06,Pedro
119,174,973878,2004-12-13,Jesús
120,152,688864,2004-12-06,Jesús
121,270,1385910,2005-02-05,Pedro
122,179,1461356,2004-07-30,Pedro
123,212,926228,2004-09-05,Joaquín
124,118,1067192,2004-08-25,Carmen
125,194,1373132,2004-08-31,María
126,139,1087119,2004-05-29,Jesús
127,130,1230190,2005-01-04,Luisa
128,206,1363926,2005-01-08,Carmen
129,216,1389096,2004-11-23,Luisa
130,55,477345,2004-09-04,Carmen
131,190,1268630,2004-12-04,Jesús
132,62,391964,2004-11-14,Pedro
133,275,1765225,2005-02-20,Joaquín
134,45,229455,2004-10-05,Jesús
135,105,624435,2004-06-24,Joaquín
136,119,686154,2005-01-19,Pedro
137,88,678480,2004-12-28,Luisa
138,63,533925,2004-09-22,Joaquín
139,222,1076034,2004-06-02,María
140,47,455477,2004-12-31,Joaquín
141,123,1128156,2004-09-23,Pedro
142,134,1310520,2004-12-28,María
143,121,782870,2004-11-19,Pedro
144,50,315550,2004-10-14,Pedro
145,274,2028970,2004-08-20,Luisa
146,76,734388,2004-05-28,Joaquín
147,109,779241,2004-05-30,María
148,249,1492506,2005-02-12,Luisa
149,212,1800516,2004-12-19,Jesús
150,128,1259904,2004-10-02,Luisa
151,172,1063648,2005-02-13,María
152,68,434656,2004-07-13,María
153,52,508924,2004-09-03,Pedro
154,185,1403595,2004-10-02,Pedro
155,284,1561432,2004-07-01,Pedro
156,202,1891932,2004-10-02,María
157,100,731700,2004-10-10,Luisa
158,106,563178,2004-08-01,Pedro
159,211,875228,2004-07-23,María
160,165,1305480,2004-07-29,Jesús
161,251,1361675,2004-08-16,Jesús
162,266,1161090,2004-11-23,Carmen
163,287,1395681,2004-09-13,Carmen
164,104,1001104,2004-10-11,Luisa
165,250,2275500,2004-07-29,Luisa
166,169,1370759,2005-01-14,Luisa
167,221,1842035,2004-10-15,Joaquín
168,286,2080078,2004-07-14,Jesús
169,73,597286,2005-02-20,Joaquín
170,144,1358640,2004-11-13,Joaquín
171,108,558252,2004-10-19,María
172,268,2400476,2005-03-08,Joaquín
173,143,1131416,2004-08-25,Joaquín
174,52,416936,2004-08-25,Carmen
175,193,1658835,2004-08-30,Jesús
176,148,1431012,2004-09-01,Jesús
177,118,513300,2004-10-26,María
178,156,848328,2005-02-27,Jesús
179,201,1874928,2004-06-21,Jesús
180,42,367584,2004-08-11,Joaquín
181,162,1323054,2004-08-25,Joaquín
182,231,1446522,2004-09-02,Carmen
183,273,1447992,2004-10-24,Pedro
184,265,2109930,2004-08-27,María
185,87,779868,2004-10-23,Jesús
186,95,919030,2004-12-10,María
187,63,537264,2005-02-08,Carmen
188,160,1261600,2004-10-25,Jesús
189,95,448210,2004-10-25,Pedro
190,71,431325,2004-07-23,Carmen
191,56,553616,2005-03-09,Pedro
192,59,453651,2004-10-07,María
193,117,986895,2004-09-14,Pedro
194,62,250852,2004-07-21,Carmen
195,281,1336717,2004-11-10,Carmen
196,87,519738,2005-01-13,Carmen
197,174,720882,2004-08-14,Pedro
198,177,842343,2005-03-10,María
199,281,2108343,2004-09-26,Pedro
200,247,1050985,2004-11-09,Pedro
201,52,298272,2004-08-13,María
202,169,902798,2004-07-16,Luisa
203,106,692180,2004-11-09,Luisa
204,274,2002392,2004-12-04,Luisa
205,250,2253500,2005-02-21,Joaquín
206,134,1338124,2004-08-19,Luisa
207,156,1369680,2004-09-27,Pedro
208,167,1643948,2004-09-21,María
209,206,1297594,2005-03-03,Carmen
210,269,2134246,2004-08-11,Carmen
211,63,492156,2004-10-25,Carmen
212,223,1932518,2005-01-19,Pedro
213,163,1385011,2004-08-26,Carmen
214,214,1219158,2004-07-13,Pedro
215,263,1494892,2005-02-02,María
216,216,1398600,2004-11-03,Luisa
217,65,461435,2004-12-31,Carmen
218,46,351256,2005-03-28,Luisa
219,209,1042283,2004-09-17,Jesús
220,56,474600,2004-08-27,Pedro
221,82,420660,2004-10-02,María
222,62,489924,2004-09-09,Luisa
223,192,1032000,2004-08-21,Luisa
224,152,1069320,2004-12-15,Jesús
225,182,1133132,2004-08-29,Joaquín
226,179,1670965,2004-09-09,Luisa
227,211,2010619,2004-11-12,Jesús
228,117,739206,2005-01-25,Carmen
229,186,1382166,2005-03-01,Pedro
230,143,665951,2005-02-18,Pedro
231,212,1479548,2004-11-03,María
232,246,1362348,2004-10-05,Joaquín
233,230,1722700,2005-03-26,Carmen
234,126,848358,2004-11-02,Pedro
235,226,2104286,2004-08-26,Carmen
236,262,1748850,2004-10-07,Pedro
237,170,995520,2005-02-01,Jesús
238,268,2338032,2005-01-02,Pedro
239,164,1298716,2004-12-03,Luisa
240,260,2038660,2004-07-26,Carmen
241,69,656535,2004-08-16,Jesús
242,298,1870546,2005-03-31,Luisa
243,284,1431076,2004-12-22,María
244,239,1176597,2004-07-07,Joaquín
245,287,1936102,2005-04-08,Jesús
246,159,1582527,2004-12-09,Jesús
247,136,873120,2004-12-26,Pedro
248,223,2026401,2004-12-13,Joaquín
249,175,747075,2005-02-01,Pedro
250,124,1130632,2005-01-22,Pedro
251,168,1622040,2004-10-15,María
252,106,567206,2004-08-08,María
253,67,379689,2004-10-29,Pedro
254,49,424536,2005-03-04,Pedro
255,238,1620304,2004-10-05,Carmen
256,261,1220697,2005-02-09,Carmen
257,242,1099648,2005-02-13,María
258,138,1183212,2005-02-26,Luisa
259,258,1750014,2004-12-09,Luisa
260,201,1107108,2005-04-07,Joaquín
261,181,1449629,2004-09-14,Luisa
262,244,1006988,2004-08-06,María
263,258,1770912,2005-03-02,Jesús
264,105,927255,2004-11-21,Luisa
265,216,1125792,2004-09-16,Jesús
266,204,1291116,2004-09-27,Carmen
267,150,968250,2005-02-15,María
268,52,446888,2004-09-01,María
269,223,1342906,2004-10-31,Joaquín
270,237,1093281,2005-01-02,Jesús
271,270,2409210,2004-09-03,Carmen
272,120,722880,2005-02-14,Joaquín
273,113,1102880,2005-03-17,Jesús
274,193,1079449,2004-11-20,Pedro
275,110,1039500,2004-11-17,Pedro
276,209,2038586,2005-01-06,Jesús
277,125,853750,2004-08-25,Carmen
278,244,1414956,2005-02-26,María
279,154,881804,2004-08-25,Pedro
280,258,1081278,2005-04-13,Carmen
281,285,2534505,2004-12-28,Jesús
282,137,1336298,2004-11-27,Pedro
283,262,2404898,2004-10-20,Luisa
284,143,712712,2005-01-10,Jesús
285,65,523770,2005-01-24,Jesús
286,225,1360800,2004-07-22,Jesús
287,177,924294,2005-01-19,Luisa
288,163,895359,2005-02-17,Pedro
289,227,1437818,2005-03-27,Jesús
290,295,1877675,2004-09-11,Pedro
291,54,258444,2005-03-08,Pedro
292,82,430418,2005-02-09,Luisa
293,86,589960,2005-03-18,Carmen
294,133,786695,2004-11-21,Luisa
295,235,1773780,2005-03-28,Pedro
296,288,2699136,2004-07-28,Pedro
297,106,600596,2004-11-23,Luisa
298,45,307170,2005-04-16,Joaquín
299,85,683230,2005-02-06,Carmen
300,178,1458176,2005-02-12,Carmen
301,211,1171894,2005-03-22,Pedro
302,209,1728221,2004-08-30,Carmen
303,298,2612566,2005-02-16,Pedro
304,249,1150380,2004-11-18,Joaquín
305,142,1055912,2004-09-28,Jesús
306,196,1645616,2005-04-14,Carmen
307,228,1521216,2005-03-16,Carmen
308,237,1763517,2004-09-06,Luisa
309,121,792792,2004-09-23,Pedro
310,61,605425,2004-12-29,Carmen
311,189,1579284,2005-01-07,Luisa
312,91,391391,2005-02-13,Luisa
313,230,1386900,2005-03-21,Joaquín
314,251,2439971,2005-02-14,Joaquín
315,261,2571111,2005-02-07,Carmen
316,251,1754992,2004-08-26,Jesús
317,46,440772,2004-11-17,Jesús
318,123,961368,2004-09-04,Luisa
319,277,2456159,2004-08-04,María
320,190,977740,2004-08-12,Pedro
321,42,255906,2004-11-09,María
322,237,1592166,2004-10-15,María
323,155,876060,2004-12-31,Carmen
324,60,332400,2004-08-30,Joaquín
325,179,1227224,2004-10-08,Luisa
326,180,1022040,2005-03-28,Jesús
327,273,1369368,2005-04-17,Jesús
328,285,1922325,2004-11-11,María
329,125,1189250,2004-10-26,Pedro
330,205,990355,2004-12-08,Luisa
331,138,877680,2005-03-31,Luisa
332,110,803000,2004-08-25,Jesús
333,242,2110966,2005-01-22,Pedro
334,148,634920,2005-04-27,Joaquín
335,227,1394461,2005-01-28,María
336,102,413610,2004-09-15,Pedro
337,41,361661,2005-01-28,Carmen
338,75,683175,2004-09-04,Joaquín
339,99,783783,2004-12-01,Jesús
340,229,1990697,2004-11-02,Pedro
341,259,1992228,2004-12-21,Pedro
342,175,1178100,2004-11-12,Luisa
343,146,1083466,2004-09-19,Jesús
344,131,1263495,2005-01-01,Jesús
345,202,1320676,2004-12-23,Pedro
346,173,851852,2004-09-18,Carmen
347,187,1560889,2005-03-26,Joaquín
348,234,1398852,2004-11-01,María
349,103,680830,2004-09-21,María
350,75,418725,2005-04-24,Pedro
351,241,2060550,2004-10-10,Luisa
352,257,1980185,2004-08-14,Carmen
353,122,885476,2005-03-30,Carmen
354,209,1181686,2004-10-15,Carmen
355,154,830830,2005-02-03,Luisa
356,196,1707944,2004-08-19,Pedro
357,131,1180048,2004-11-04,Joaquín
358,130,1176630,2005-03-18,Jesús
359,156,896220,2005-03-19,Luisa
360,291,1505925,2005-03-10,Luisa
361,141,732495,2004-12-02,Luisa
362,68,378624,2005-03-30,Carmen
363,267,1257036,2004-12-26,Luisa
364,137,673355,2004-10-16,María
365,137,961192,2005-05-10,Jesús
366,76,501220,2005-03-24,Jesús
367,80,354320,2004-10-18,Carmen
368,149,1238339,2004-12-27,Luisa
369,285,1377975,2004-09-14,Jesús
370,230,1109980,2004-12-08,Luisa
371,163,1317529,2005-05-03,Luisa
372,131,822811,2005-05-21,Pedro
373,167,895287,2004-11-13,Jesús
374,230,1398630,2005-04-10,María
375,247,1210053,2004-09-04,Jesús
376,105,525210,2005-04-16,Pedro
377,280,1680000,2004-09-17,María
378,108,812808,2004-10-13,Jesús
379,269,2586704,2005-03-27,Carmen
380,123,775884,2004-10-21,Joaquín
381,264,2582184,2005-04-24,Luisa
382,298,1331166,2004-12-28,Joaquín
383,200,1823400,2004-10-20,Joaquín
384,197,1746405,2005-03-20,Luisa
385,184,830760,2004-09-13,Pedro
386,119,486472,2004-09-04,Joaquín
387,137,835152,2005-02-13,Jesús
388,196,882784,2005-02-02,Luisa
389,65,389350,2004-12-10,Luisa
390,300,1483500,2005-03-29,Carmen
391,202,1560450,2005-02-06,Jesús
392,225,1164375,2005-03-04,Pedro
393,203,946792,2005-04-17,María
394,192,1159296,2005-05-23,Carmen
395,296,1602544,2004-09-07,Jesús
396,177,933321,2005-05-10,Joaquín
397,72,427824,2004-11-08,Luisa
398,65,483860,2005-01-24,Pedro
399,208,1225120,2005-01-22,Carmen
400,271,2682900,2005-06-02,Pedro
401,278,2188138,2005-01-21,María
402,90,770040,2005-04-26,Jesús
403,72,702576,2005-03-22,Carmen
404,224,1804992,2005-01-20,Jesús
405,207,1883700,2005-02-23,Carmen
406,162,1383480,2004-12-16,María
407,74,729788,2005-01-22,Pedro
408,293,1750089,2005-04-05,Luisa
409,46,435252,2004-10-30,Luisa
410,90,742770,2004-11-27,Luisa
411,148,1268952,2004-10-14,María
412,189,1527498,2005-05-14,Luisa
413,56,425432,2004-09-23,Luisa
414,46,386584,2004-12-17,Carmen
415,201,1287807,2004-09-11,Carmen
416,254,1381506,2005-04-14,Luisa
417,287,2452989,2005-01-26,Joaquín
418,174,952302,2004-12-06,Luisa
419,114,1019160,2005-05-29,Carmen
420,135,1209735,2005-05-05,Pedro
421,126,637308,2004-11-09,Jesús
422,260,1090180,2004-12-16,Luisa
423,261,1945755,2004-11-06,Jesús
424,173,1117753,2004-12-11,María
425,207,1042659,2004-10-12,Jesús
426,81,583362,2005-05-04,Carmen
427,52,338364,2005-01-04,Carmen
428,271,2190493,2004-11-02,Jesús
429,249,1388175,2004-10-29,Luisa
430,153,1116441,2004-12-19,Jesús
431,205,1980300,2005-01-01,Joaquín
432,144,852480,2005-06-04,Carmen
433,246,1898628,2004-12-15,Joaquín
434,233,1541528,2005-02-03,Jesús
435,105,783195,2004-11-20,Carmen
436,107,909821,2005-05-03,Luisa
437,158,1543344,2004-12-26,Luisa
438,298,2524358,2004-10-23,Luisa
439,115,1077665,2004-09-19,Jesús
440,102,790602,2004-11-09,Carmen
441,211,872063,2005-02-26,Pedro
442,245,1001070,2004-10-14,Jesús
443,102,1005312,2005-06-09,Luisa
444,44,189156,2004-11-25,Jesús
445,57,419178,2005-03-18,Jesús
446,263,1779458,2005-01-24,Pedro
447,234,1159470,2004-10-02,Pedro
448,118,788948,2005-04-08,Pedro
449,248,1674744,2005-05-01,Luisa
450,54,406998,2005-04-25,Joaquín
451,215,2097970,2004-11-13,Pedro
452,185,1616900,2005-04-08,Jesús
453,72,458568,2004-10-06,Luisa
454,244,2439512,2005-01-02,Carmen
455,195,1797120,2004-12-31,María
456,104,511680,2005-06-05,Luisa
457,71,587880,2004-10-03,Jesús
458,107,590426,2004-11-03,María
459,77,322322,2005-03-12,Joaquín
460,90,412740,2004-09-26,María
461,204,924732,2005-04-28,María
462,214,1962380,2005-06-01,Pedro
463,143,836836,2005-06-15,Luisa
464,268,2628812,2005-03-15,Pedro
465,44,242704,2004-10-03,Joaquín
466,126,520758,2005-06-16,Pedro
467,215,870105,2005-04-02,Jesús
468,65,546780,2004-12-13,Pedro
469,191,875544,2004-11-01,Jesús
470,155,801350,2005-01-14,Pedro
471,297,1820016,2005-01-08,María
472,105,872760,2005-03-26,Carmen
473,199,1622646,2005-06-23,Jesús
474,136,568480,2004-12-03,Pedro
475,88,851488,2005-05-25,Carmen
476,86,855442,2004-10-20,Jesús
477,189,913248,2005-05-13,Luisa
478,232,1028224,2005-05-26,Luisa
479,58,530816,2004-10-07,Luisa
480,257,1166780,2005-01-10,Jesús
481,243,1983123,2005-06-16,María
482,134,946710,2005-01-04,Carmen
483,153,1506438,2004-12-03,Luisa
484,122,1093608,2005-02-27,Luisa
485,283,2199476,2005-06-04,Luisa
486,261,2475063,2005-01-21,Carmen
487,185,1306840,2005-05-17,Carmen
488,60,253920,2005-01-30,Luisa
489,234,1911312,2005-04-08,Luisa
490,62,358670,2005-06-04,Luisa
491,282,1298328,2005-03-10,Jesús
492,299,1948583,2004-12-21,María
493,274,1729762,2005-07-03,Luisa
494,268,2578696,2005-06-28,Luisa
495,155,1166065,2004-12-07,Jesús
496,209,1316073,2005-04-02,Pedro
497,110,1004740,2005-07-03,Luisa
498,61,531432,2005-05-22,Joaquín
499,240,2238000,2005-05-06,Pedro
500,229,965006,2005-02-02,Pedro
501,224,2087904,2005-01-29,Jesús
502,72,647352,2005-06-07,María
503,186,1216254,2005-04-09,María
504,172,860172,2005-05-16,Luisa
505,235,1207195,2004-10-14,Luisa
506,159,1032546,2004-11-07,Carmen
507,271,2297538,2004-11-22,Jesús
508,80,428240,2005-02-01,Pedro
509,227,1175860,2005-07-05,Joaquín
510,40,258560,2005-03-22,Jesús
511,239,1782940,2004-11-13,Joaquín
512,191,1841622,2005-01-21,Jesús
513,76,741228,2004-12-28,Luisa
514,47,262777,2004-12-22,Carmen
515,119,720902,2005-06-23,Carmen
516,174,1313526,2005-01-16,Pedro
517,108,638064,2004-10-24,Luisa
518,123,682773,2005-01-30,Luisa
519,42,279342,2005-01-24,María
520,105,740355,2004-12-08,Luisa
521,223,1293400,2005-03-03,Carmen
522,270,1429380,2005-03-25,Carmen
523,159,1536576,2005-06-24,Pedro
524,280,1249360,2005-01-09,Pedro
525,162,1594404,2005-03-07,María
526,231,935781,2004-11-13,Joaquín
527,231,2273040,2005-02-04,Joaquín
528,206,1414602,2005-06-14,Carmen
529,86,446856,2005-06-12,María
530,112,712768,2005-06-14,Carmen
531,182,999726,2005-02-20,Carmen
532,72,606024,2005-04-12,Carmen
533,62,410316,2004-12-27,Luisa
534,280,1730680,2005-05-07,Carmen
535,197,1292123,2005-06-30,Joaquín
536,117,1031121,2005-04-30,Luisa
537,279,2161134,2005-03-09,María
538,111,761793,2005-07-11,María
539,87,565587,2005-01-25,Joaquín
540,62,251596,2005-06-20,Jesús
541,182,1514968,2004-10-24,María
542,101,564186,2005-01-21,Pedro
543,79,694331,2005-03-10,Carmen
544,82,419348,2005-03-12,Jesús
545,65,628095,2005-03-08,María
546,200,1000000,2004-12-13,Jesús
547,286,2330042,2004-10-21,Carmen
548,237,1403988,2005-06-27,Carmen
549,275,1711325,2005-04-27,Luisa
550,237,2215002,2004-10-31,Pedro
551,125,804625,2005-06-26,Carmen
552,209,1568754,2004-12-15,Pedro
553,141,867009,2004-11-21,Joaquín
554,138,1289748,2004-12-25,Luisa
555,57,567492,2005-02-08,Carmen
556,198,1916442,2005-04-14,Joaquín
557,246,1875012,2005-03-08,Luisa
558,188,1590104,2004-10-26,Pedro
559,285,1412175,2004-12-01,Pedro
560,53,280741,2005-07-01,Jesús
561,161,960526,2005-06-21,Joaquín
562,237,1272216,2005-04-27,Jesús
563,112,513968,2005-04-30,Jesús
564,147,917868,2004-11-15,Joaquín
565,266,1881950,2005-01-15,María
566,98,469910,2005-01-08,Joaquín
567,153,639999,2005-05-11,Luisa
568,167,700398,2005-03-07,Luisa
569,79,659808,2005-01-23,Pedro
570,44,322036,2004-12-20,Jesús
571,235,1897155,2005-07-01,Carmen
572,243,1038825,2004-12-14,Jesús
573,58,251430,2005-05-30,Carmen
574,280,1877400,2005-04-21,Joaquín
575,54,435348,2005-02-20,Pedro
576,154,889658,2005-06-22,Joaquín
577,221,1571973,2004-12-25,Joaquín
578,148,811780,2005-04-17,Luisa
579,226,1634884,2005-07-20,María
580,230,1742020,2004-11-16,Jesús
581,290,2584480,2004-11-22,Jesús
582,297,1767744,2005-03-23,Pedro
583,257,1077601,2005-02-07,Luisa
584,161,1050203,2005-02-04,Joaquín
585,77,613921,2005-03-23,María
586,184,1286344,2005-07-02,Joaquín
587,56,469168,2005-03-08,Pedro
588,138,1372686,2005-06-17,Carmen
589,95,627570,2005-03-16,Carmen
590,46,435712,2005-03-31,Luisa
591,145,999630,2005-05-01,Pedro
592,213,1234974,2005-06-23,Carmen
593,171,1148436,2005-06-29,Pedro
594,262,1343798,2005-04-15,Jesús
595,62,358360,2005-07-23,Luisa
596,71,323760,2005-03-15,María
597,94,735456,2005-05-02,María
598,76,738568,2005-03-22,Joaquín
599,289,1275646,2005-01-29,Pedro
600,147,919632,2005-06-23,Luisa
601,227,1218763,2005-07-27,Joaquín
602,174,1408182,2005-05-23,Jesús
603,149,704323,2005-08-03,Luisa
604,212,1817264,2005-06-25,María
605,45,360765,2005-03-05,María
606,49,418019,2005-02-22,Pedro
607,210,1117620,2005-05-12,Carmen
608,287,1790880,2004-11-18,Pedro
609,127,1058545,2005-01-23,Joaquín
610,294,2658936,2005-06-21,Luisa
611,92,879244,2005-05-06,Joaquín
612,225,1879200,2004-11-19,Pedro
613,241,1085705,2005-01-28,Pedro
614,283,1992320,2005-04-07,María
615,231,1237929,2005-04-13,Luisa
616,172,1283980,2005-01-27,Carmen
617,78,391560,2005-01-20,Pedro
618,93,705963,2005-03-30,Pedro
619,58,406290,2005-07-04,Carmen
620,223,2171128,2005-03-23,Carmen
621,123,1116348,2005-06-29,Luisa
622,72,577656,2005-07-30,María
623,154,1122352,2005-05-11,Jesús
624,222,2171826,2005-01-12,Carmen
625,263,2061131,2005-07-28,Joaquín
626,86,494758,2005-03-04,María
627,212,1360828,2005-04-24,Jesús
628,249,1427019,2004-12-04,Jesús
629,170,1567060,2005-02-19,María
630,272,1972816,2005-08-14,Carmen
631,201,1816437,2005-05-10,Pedro
632,167,1191044,2005-01-11,Luisa
633,283,2576432,2005-05-13,María
634,197,981651,2005-01-17,Jesús
635,181,1161477,2005-05-07,María
636,95,938030,2005-06-03,María
637,116,915704,2005-01-27,María
638,277,2646181,2005-07-04,Carmen
639,182,1243060,2005-07-16,María
640,249,2306238,2005-03-02,María
641,119,711382,2005-08-01,Luisa
642,255,2338095,2005-08-10,Carmen
643,164,1162104,2005-05-10,Pedro
644,227,1917696,2005-02-22,Joaquín
645,168,1192800,2005-07-14,Joaquín
646,67,346256,2005-05-18,Luisa
647,267,1153173,2005-03-28,Pedro
648,46,386354,2005-05-04,Pedro
649,80,777360,2005-04-21,Carmen
650,207,1015956,2005-06-17,Jesús
651,259,1080548,2004-12-31,María
652,147,730149,2004-12-25,Carmen
653,207,1953873,2005-06-10,Luisa
654,293,2787016,2005-03-23,Luisa
655,252,1773072,2005-04-01,Luisa
656,284,1589832,2005-02-28,Luisa
657,286,1442870,2005-08-09,Pedro
658,72,500400,2005-01-22,María
659,176,1003552,2005-08-05,Carmen
660,278,1730550,2004-12-09,María
661,254,1963166,2005-07-27,Joaquín
662,47,463843,2005-02-19,Joaquín
663,252,2057832,2005-03-14,Luisa
664,163,1520627,2005-04-20,Pedro
665,271,1457980,2005-05-09,Luisa
666,116,651920,2005-05-09,María
667,195,1513005,2005-01-21,Pedro
668,290,1747830,2005-01-14,Luisa
669,289,2188597,2005-04-27,María
670,235,1277930,2005-04-07,Luisa
671,186,1225926,2005-05-16,Luisa
672,67,479318,2005-04-03,Luisa
673,152,1392168,2005-08-04,Pedro
674,62,329716,2005-05-10,Pedro
675,47,311563,2004-12-27,Carmen
676,54,227178,2005-01-24,Joaquín
677,225,1239300,2005-01-29,María
678,113,1074969,2005-04-16,Joaquín
679,249,1029864,2005-05-06,Carmen
680,284,1166104,2005-04-08,Jesús
681,274,1577692,2005-05-11,Joaquín
682,121,1049433,2005-06-07,Jesús
683,247,2285244,2005-03-07,María
684,97,662316,2005-04-27,Carmen
685,57,330771,2005-01-05,María
686,240,1214880,2005-04-09,Luisa
687,163,688838,2004-12-13,Luisa
688,64,622144,2005-07-05,María
689,81,723492,2005-07-10,Joaquín
690,118,827062,2005-03-22,Joaquín
691,177,1022883,2005-04-29,María
692,269,1722407,2004-12-21,Jesús
693,88,392832,2005-01-28,María
694,205,1524585,2005-05-02,Pedro
695,256,1379328,2005-03-27,Luisa
696,163,1570016,2005-08-04,Carmen
697,187,789140,2005-05-16,Carmen
698,73,542974,2005-06-14,Luisa
699,299,1251315,2005-01-20,Luisa
700,225,2023200,2004-12-27,Joaquín
701,295,2553225,2005-01-14,Carmen
702,160,1341120,2005-07-25,María
703,278,2540364,2005-04-12,Carmen
704,271,1165842,2005-02-10,Luisa
705,258,1501560,2005-01-05,Joaquín
706,215,1713120,2005-05-27,Carmen
707,158,1124012,2005-05-03,Pedro
708,210,1181670,2005-07-13,Jesús
709,274,1291636,2005-05-24,María
710,289,2114035,2004-12-14,Luisa
711,244,2280668,2005-07-16,María
712,73,688463,2005-08-08,Luisa
713,235,2135210,2005-05-14,Pedro
714,43,329681,2005-01-19,Jesús
715,206,1793848,2005-09-03,Luisa
716,47,457498,2005-02-23,Jesús
717,161,736092,2005-02-26,María
718,283,1565839,2005-06-15,Pedro
719,226,2216608,2005-07-09,Luisa
720,44,266596,2005-04-23,Luisa
721,86,611546,2005-02-10,Carmen
722,54,518508,2005-02-16,María
723,241,2085373,2005-07-07,Joaquín
