,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
120,121,2004-02-17,Parking,Venta,Barcelona,152,688864,2004-12-06,Jesús
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
125,126,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31,María
126,127,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29,Jesús
127,128,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04,Luisa
129,130,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23,Luisa
130,131,2004-02-21,Local,Venta,Lleida,55,477345,2004-09-04,Carmen
131,132,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04,Jesús
134,135,2004-02-22,Local,Venta,Lleida,45,229455,2004-10-05,Jesús
136,137,2004-02-23,Casa,Venta,Barcelona,119,686154,2005-01-19,Pedro
137,138,2004-02-24,Industrial,Venta,Girona,88,678480,2004-12-28,Luisa
139,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
140,141,2004-02-27,Suelo,Venta,Barcelona,47,455477,2004-12-31,Joaquín
141,142,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23,Pedro
144,145,2004-02-28,Piso,Venta,Girona,50,315550,2004-10-14,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
147,148,2004-02-28,Local,Venta,Barcelona,109,779241,2004-05-30,María
148,149,2004-02-29,Piso,Venta,Lleida,249,1492506,2005-02-12,Luisa
151,152,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13,María
152,153,2004-03-02,Piso,Venta,Lleida,68,434656,2004-07-13,María
155,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
156,157,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02,María
158,159,2004-03-04,Local,Venta,Lleida,106,563178,2004-08-01,Pedro
159,160,2004-03-04,Casa,Venta,Tarragona,211,875228,2004-07-23,María
160,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
164,165,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11,Luisa
165,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
167,168,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15,Joaquín
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
174,175,2004-03-10,Local,Venta,Barcelona,52,416936,2004-08-25,Carmen
176,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
177,178,2004-03-11,Local,Venta,Tarragona,118,513300,2004-10-26,María
178,179,2004-03-12,Industrial,Venta,Barcelona,156,848328,2005-02-27,Jesús
180,181,2004-03-12,Oficina,Venta,Tarragona,42,367584,2004-08-11,Joaquín
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
187,188,2004-03-16,Casa,Venta,Lleida,63,537264,2005-02-08,Carmen
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
191,192,2004-03-18,Local,Venta,Girona,56,553616,2005-03-09,Pedro
192,193,2004-03-18,Suelo,Venta,Tarragona,59,453651,2004-10-07,María
194,195,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
196,197,2004-03-20,Piso,Venta,Tarragona,87,519738,2005-01-13,Carmen
198,199,2004-03-21,Oficina,Venta,Lleida,177,842343,2005-03-10,María
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
207,208,2004-03-23,Casa,Venta,Lleida,156,1369680,2004-09-27,Pedro
208,209,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21,María
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
215,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
223,224,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21,Luisa
226,227,2004-04-01,Casa,Venta,Lleida,179,1670965,2004-09-09,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
228,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
231,232,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03,María
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
234,235,2004-04-03,Suelo,Venta,Lleida,126,848358,2004-11-02,Pedro
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
236,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
239,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
241,242,2004-04-07,Suelo,Venta,Barcelona,69,656535,2004-08-16,Jesús
242,243,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31,Luisa
244,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
245,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
248,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
250,251,2004-04-09,Suelo,Venta,Lleida,124,1130632,2005-01-22,Pedro
252,253,2004-04-10,Parking,Venta,Tarragona,106,567206,2004-08-08,María
253,254,2004-04-10,Piso,Venta,Girona,67,379689,2004-10-29,Pedro
255,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
258,259,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26,Luisa
264,265,2004-04-14,Parking,Venta,Barcelona,105,927255,2004-11-21,Luisa
266,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
268,269,2004-04-15,Parking,Venta,Lleida,52,446888,2004-09-01,María
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
278,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26,María
279,280,2004-04-18,Oficina,Venta,Barcelona,154,881804,2004-08-25,Pedro
280,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
285,286,2004-04-19,Industrial,Venta,Barcelona,65,523770,2005-01-24,Jesús
288,289,2004-04-20,Suelo,Venta,Lleida,163,895359,2005-02-17,Pedro
291,292,2004-04-21,Parking,Venta,Barcelona,54,258444,2005-03-08,Pedro
292,293,2004-04-22,Parking,Venta,Girona,82,430418,2005-02-09,Luisa
293,294,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
294,295,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21,Luisa
297,298,2004-04-23,Industrial,Venta,Barcelona,106,600596,2004-11-23,Luisa
298,299,2004-04-23,Industrial,Venta,Girona,45,307170,2005-04-16,Joaquín
302,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
304,305,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18,Joaquín
305,306,2004-04-27,Piso,Venta,Lleida,142,1055912,2004-09-28,Jesús
306,307,2004-04-27,Industrial,Venta,Lleida,196,1645616,2005-04-14,Carmen
309,310,2004-04-28,Industrial,Venta,Lleida,121,792792,2004-09-23,Pedro
310,311,2004-04-28,Suelo,Venta,Lleida,61,605425,2004-12-29,Carmen
311,312,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07,Luisa
318,319,2004-05-02,Piso,Venta,Tarragona,123,961368,2004-09-04,Luisa
321,322,2004-05-03,Suelo,Venta,Barcelona,42,255906,2004-11-09,María
322,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
324,325,2004-05-04,Piso,Venta,Girona,60,332400,2004-08-30,Joaquín
326,327,2004-05-04,Suelo,Venta,Tarragona,180,1022040,2005-03-28,Jesús
327,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
328,329,2004-05-04,Industrial,Venta,Lleida,285,1922325,2004-11-11,María
332,333,2004-05-06,Piso,Venta,Barcelona,110,803000,2004-08-25,Jesús
334,335,2004-05-07,Piso,Venta,Lleida,148,634920,2005-04-27,Joaquín
336,337,2004-05-08,Oficina,Venta,Girona,102,413610,2004-09-15,Pedro
339,340,2004-05-10,Suelo,Venta,Lleida,99,783783,2004-12-01,Jesús
340,341,2004-05-10,Casa,Venta,Tarragona,229,1990697,2004-11-02,Pedro
342,343,2004-05-10,Parking,Venta,Barcelona,175,1178100,2004-11-12,Luisa
343,344,2004-05-10,Casa,Venta,Barcelona,146,1083466,2004-09-19,Jesús
345,346,2004-05-11,Local,Venta,Tarragona,202,1320676,2004-12-23,Pedro
346,347,2004-05-11,Industrial,Venta,Barcelona,173,851852,2004-09-18,Carmen
348,349,2004-05-12,Parking,Venta,Tarragona,234,1398852,2004-11-01,María
349,350,2004-05-13,Oficina,Venta,Girona,103,680830,2004-09-21,María
351,352,2004-05-14,Casa,Venta,Tarragona,241,2060550,2004-10-10,Luisa
353,354,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30,Carmen
356,357,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19,Pedro
357,358,2004-05-15,Piso,Venta,Barcelona,131,1180048,2004-11-04,Joaquín
358,359,2004-05-15,Parking,Venta,Lleida,130,1176630,2005-03-18,Jesús
359,360,2004-05-16,Local,Venta,Barcelona,156,896220,2005-03-19,Luisa
360,361,2004-05-17,Local,Venta,Lleida,291,1505925,2005-03-10,Luisa
361,362,2004-05-18,Casa,Venta,Lleida,141,732495,2004-12-02,Luisa
363,364,2004-05-18,Local,Venta,Lleida,267,1257036,2004-12-26,Luisa
365,366,2004-05-18,Oficina,Venta,Lleida,137,961192,2005-05-10,Jesús
367,368,2004-05-18,Casa,Venta,Girona,80,354320,2004-10-18,Carmen
370,371,2004-05-20,Oficina,Venta,Barcelona,230,1109980,2004-12-08,Luisa
374,375,2004-05-22,Local,Venta,Tarragona,230,1398630,2005-04-10,María
378,379,2004-05-24,Piso,Venta,Girona,108,812808,2004-10-13,Jesús
379,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
380,381,2004-05-25,Casa,Venta,Girona,123,775884,2004-10-21,Joaquín
383,384,2004-05-26,Parking,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
384,385,2004-05-26,Parking,Venta,Barcelona,197,1746405,2005-03-20,Luisa
386,387,2004-05-27,Oficina,Venta,Barcelona,119,486472,2004-09-04,Joaquín
390,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
392,393,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04,Pedro
396,397,2004-06-01,Parking,Venta,Barcelona,177,933321,2005-05-10,Joaquín
397,398,2004-06-01,Industrial,Venta,Girona,72,427824,2004-11-08,Luisa
398,399,2004-06-01,Industrial,Venta,Tarragona,65,483860,2005-01-24,Pedro
399,400,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22,Carmen
402,403,2004-06-02,Piso,Venta,Girona,90,770040,2005-04-26,Jesús
404,405,2004-06-03,Local,Venta,Tarragona,224,1804992,2005-01-20,Jesús
405,406,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23,Carmen
406,407,2004-06-03,Industrial,Venta,Barcelona,162,1383480,2004-12-16,María
408,409,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05,Luisa
410,411,2004-06-05,Local,Venta,Girona,90,742770,2004-11-27,Luisa
411,412,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14,María
413,414,2004-06-06,Suelo,Venta,Lleida,56,425432,2004-09-23,Luisa
414,415,2004-06-06,Parking,Venta,Barcelona,46,386584,2004-12-17,Carmen
416,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
418,419,2004-06-07,Parking,Venta,Girona,174,952302,2004-12-06,Luisa
420,421,2004-06-09,Suelo,Venta,Barcelona,135,1209735,2005-05-05,Pedro
423,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
424,425,2004-06-09,Casa,Venta,Girona,173,1117753,2004-12-11,María
426,427,2004-06-10,Piso,Venta,Barcelona,81,583362,2005-05-04,Carmen
429,430,2004-06-11,Oficina,Venta,Tarragona,249,1388175,2004-10-29,Luisa
432,433,2004-06-13,Suelo,Venta,Tarragona,144,852480,2005-06-04,Carmen
435,436,2004-06-13,Suelo,Venta,Tarragona,105,783195,2004-11-20,Carmen
436,437,2004-06-14,Parking,Venta,Girona,107,909821,2005-05-03,Luisa
437,438,2004-06-14,Oficina,Venta,Barcelona,158,1543344,2004-12-26,Luisa
439,440,2004-06-15,Parking,Venta,Barcelona,115,1077665,2004-09-19,Jesús
440,441,2004-06-16,Parking,Venta,Barcelona,102,790602,2004-11-09,Carmen
441,442,2004-06-16,Parking,Venta,Tarragona,211,872063,2005-02-26,Pedro
443,444,2004-06-17,Parking,Venta,Barcelona,102,1005312,2005-06-09,Luisa
448,449,2004-06-17,Local,Venta,Girona,118,788948,2005-04-08,Pedro
450,451,2004-06-18,Oficina,Venta,Barcelona,54,406998,2005-04-25,Joaquín
451,452,2004-06-19,Suelo,Venta,Lleida,215,2097970,2004-11-13,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185,1616900,2005-04-08,Jesús
455,456,2004-06-20,Piso,Venta,Lleida,195,1797120,2004-12-31,María
458,459,2004-06-21,Oficina,Venta,Girona,107,590426,2004-11-03,María
460,461,2004-06-22,Casa,Venta,Girona,90,412740,2004-09-26,María
462,463,2004-06-23,Casa,Venta,Girona,214,1962380,2005-06-01,Pedro
466,467,2004-06-24,Local,Venta,Girona,126,520758,2005-06-16,Pedro
467,468,2004-06-24,Local,Venta,Tarragona,215,870105,2005-04-02,Jesús
469,470,2004-06-25,Parking,Venta,Tarragona,191,875544,2004-11-01,Jesús
470,471,2004-06-25,Casa,Venta,Lleida,155,801350,2005-01-14,Pedro
471,472,2004-06-25,Suelo,Venta,Tarragona,297,1820016,2005-01-08,María
473,474,2004-06-25,Suelo,Venta,Girona,199,1622646,2005-06-23,Jesús
478,479,2004-06-28,Oficina,Venta,Girona,232,1028224,2005-05-26,Luisa
479,480,2004-06-28,Suelo,Venta,Lleida,58,530816,2004-10-07,Luisa
481,482,2004-06-29,Industrial,Venta,Tarragona,243,1983123,2005-06-16,María
482,483,2004-06-29,Oficina,Venta,Lleida,134,946710,2005-01-04,Carmen
483,484,2004-06-30,Casa,Venta,Girona,153,1506438,2004-12-03,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283,2199476,2005-06-04,Luisa
486,487,2004-06-30,Casa,Venta,Lleida,261,2475063,2005-01-21,Carmen
488,489,2004-07-01,Casa,Venta,Tarragona,60,253920,2005-01-30,Luisa
491,492,2004-07-03,Local,Venta,Lleida,282,1298328,2005-03-10,Jesús
493,494,2004-07-03,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
496,497,2004-07-03,Oficina,Venta,Girona,209,1316073,2005-04-02,Pedro
498,499,2004-07-04,Casa,Venta,Barcelona,61,531432,2005-05-22,Joaquín
500,501,2004-07-05,Casa,Venta,Lleida,229,965006,2005-02-02,Pedro
502,503,2004-07-05,Piso,Venta,Barcelona,72,647352,2005-06-07,María
503,504,2004-07-05,Oficina,Venta,Lleida,186,1216254,2005-04-09,María
504,505,2004-07-05,Industrial,Venta,Tarragona,172,860172,2005-05-16,Luisa
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
508,509,2004-07-06,Parking,Venta,Tarragona,80,428240,2005-02-01,Pedro
510,511,2004-07-06,Industrial,Venta,Lleida,40,258560,2005-03-22,Jesús
513,514,2004-07-07,Casa,Venta,Tarragona,76,741228,2004-12-28,Luisa
516,517,2004-07-08,Industrial,Venta,Girona,174,1313526,2005-01-16,Pedro
517,518,2004-07-08,Casa,Venta,Girona,108,638064,2004-10-24,Luisa
520,521,2004-07-09,Parking,Venta,Barcelona,105,740355,2004-12-08,Luisa
521,522,2004-07-09,Casa,Venta,Lleida,223,1293400,2005-03-03,Carmen
524,525,2004-07-10,Parking,Venta,Lleida,280,1249360,2005-01-09,Pedro
525,526,2004-07-11,Parking,Venta,Girona,162,1594404,2005-03-07,María
529,530,2004-07-12,Local,Venta,Lleida,86,446856,2005-06-12,María
532,533,2004-07-13,Parking,Venta,Tarragona,72,606024,2005-04-12,Carmen
533,534,2004-07-14,Oficina,Venta,Girona,62,410316,2004-12-27,Luisa
535,536,2004-07-14,Casa,Venta,Girona,197,1292123,2005-06-30,Joaquín
541,542,2004-07-16,Oficina,Venta,Barcelona,182,1514968,2004-10-24,María
542,543,2004-07-16,Industrial,Venta,Tarragona,101,564186,2005-01-21,Pedro
543,544,2004-07-17,Oficina,Venta,Tarragona,79,694331,2005-03-10,Carmen
544,545,2004-07-18,Local,Venta,Lleida,82,419348,2005-03-12,Jesús
545,546,2004-07-20,Industrial,Venta,Lleida,65,628095,2005-03-08,María
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
548,549,2004-07-20,Local,Venta,Girona,237,1403988,2005-06-27,Carmen
551,552,2004-07-21,Local,Venta,Barcelona,125,804625,2005-06-26,Carmen
552,553,2004-07-21,Oficina,Venta,Barcelona,209,1568754,2004-12-15,Pedro
553,554,2004-07-21,Parking,Venta,Barcelona,141,867009,2004-11-21,Joaquín
554,555,2004-07-22,Piso,Venta,Girona,138,1289748,2004-12-25,Luisa
555,556,2004-07-22,Suelo,Venta,Lleida,57,567492,2005-02-08,Carmen
562,563,2004-07-25,Piso,Venta,Barcelona,237,1272216,2005-04-27,Jesús
564,565,2004-07-25,Suelo,Venta,Barcelona,147,917868,2004-11-15,Joaquín
566,567,2004-07-26,Local,Venta,Barcelona,98,469910,2005-01-08,Joaquín
567,568,2004-07-26,Local,Venta,Lleida,153,639999,2005-05-11,Luisa
572,573,2004-07-28,Parking,Venta,Tarragona,243,1038825,2004-12-14,Jesús
575,576,2004-07-29,Casa,Venta,Barcelona,54,435348,2005-02-20,Pedro
576,577,2004-07-29,Oficina,Venta,Barcelona,154,889658,2005-06-22,Joaquín
577,578,2004-07-29,Oficina,Venta,Girona,221,1571973,2004-12-25,Joaquín
578,579,2004-07-29,Industrial,Venta,Girona,148,811780,2005-04-17,Luisa
579,580,2004-07-30,Parking,Venta,Tarragona,226,1634884,2005-07-20,María
580,581,2004-07-30,Casa,Venta,Tarragona,230,1742020,2004-11-16,Jesús
581,582,2004-07-31,Industrial,Venta,Lleida,290,2584480,2004-11-22,Jesús
582,583,2004-07-31,Local,Venta,Tarragona,297,1767744,2005-03-23,Pedro
588,589,2004-08-02,Oficina,Venta,Tarragona,138,1372686,2005-06-17,Carmen
589,590,2004-08-03,Suelo,Venta,Tarragona,95,627570,2005-03-16,Carmen
592,593,2004-08-04,Suelo,Venta,Tarragona,213,1234974,2005-06-23,Carmen
594,595,2004-08-04,Industrial,Venta,Barcelona,262,1343798,2005-04-15,Jesús
595,596,2004-08-04,Parking,Venta,Lleida,62,358360,2005-07-23,Luisa
596,597,2004-08-05,Casa,Venta,Lleida,71,323760,2005-03-15,María
597,598,2004-08-06,Casa,Venta,Lleida,94,735456,2005-05-02,María
601,602,2004-08-09,Industrial,Venta,Girona,227,1218763,2005-07-27,Joaquín
606,607,2004-08-10,Parking,Venta,Barcelona,49,418019,2005-02-22,Pedro
607,608,2004-08-11,Suelo,Venta,Lleida,210,1117620,2005-05-12,Carmen
608,609,2004-08-11,Suelo,Venta,Lleida,287,1790880,2004-11-18,Pedro
609,610,2004-08-11,Local,Venta,Barcelona,127,1058545,2005-01-23,Joaquín
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
612,613,2004-08-11,Industrial,Venta,Barcelona,225,1879200,2004-11-19,Pedro
614,615,2004-08-12,Local,Venta,Lleida,283,1992320,2005-04-07,María
616,617,2004-08-13,Piso,Venta,Lleida,172,1283980,2005-01-27,Carmen
620,621,2004-08-14,Industrial,Venta,Tarragona,223,2171128,2005-03-23,Carmen
621,622,2004-08-14,Piso,Venta,Barcelona,123,1116348,2005-06-29,Luisa
622,623,2004-08-15,Local,Venta,Tarragona,72,577656,2005-07-30,María
623,624,2004-08-15,Industrial,Venta,Tarragona,154,1122352,2005-05-11,Jesús
628,629,2004-08-17,Piso,Venta,Girona,249,1427019,2004-12-04,Jesús
631,632,2004-08-17,Piso,Venta,Girona,201,1816437,2005-05-10,Pedro
637,638,2004-08-18,Casa,Venta,Tarragona,116,915704,2005-01-27,María
640,641,2004-08-19,Oficina,Venta,Girona,249,2306238,2005-03-02,María
641,642,2004-08-20,Industrial,Venta,Girona,119,711382,2005-08-01,Luisa
644,645,2004-08-20,Industrial,Venta,Tarragona,227,1917696,2005-02-22,Joaquín
646,647,2004-08-21,Piso,Venta,Barcelona,67,346256,2005-05-18,Luisa
647,648,2004-08-21,Oficina,Venta,Girona,267,1153173,2005-03-28,Pedro
649,650,2004-08-22,Parking,Venta,Lleida,80,777360,2005-04-21,Carmen
650,651,2004-08-22,Piso,Venta,Girona,207,1015956,2005-06-17,Jesús
652,653,2004-08-22,Piso,Venta,Tarragona,147,730149,2004-12-25,Carmen
654,655,2004-08-22,Oficina,Venta,Girona,293,2787016,2005-03-23,Luisa
655,656,2004-08-23,Oficina,Venta,Tarragona,252,1773072,2005-04-01,Luisa
656,657,2004-08-23,Casa,Venta,Lleida,284,1589832,2005-02-28,Luisa
657,658,2004-08-23,Parking,Venta,Tarragona,286,1442870,2005-08-09,Pedro
659,660,2004-08-23,Piso,Venta,Tarragona,176,1003552,2005-08-05,Carmen
660,661,2004-08-23,Local,Venta,Girona,278,1730550,2004-12-09,María
665,666,2004-08-26,Suelo,Venta,Lleida,271,1457980,2005-05-09,Luisa
666,667,2004-08-26,Oficina,Venta,Barcelona,116,651920,2005-05-09,María
667,668,2004-08-27,Parking,Venta,Barcelona,195,1513005,2005-01-21,Pedro
668,669,2004-08-27,Parking,Venta,Tarragona,290,1747830,2005-01-14,Luisa
669,670,2004-08-28,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
672,673,2004-08-29,Industrial,Venta,Barcelona,67,479318,2005-04-03,Luisa
673,674,2004-08-29,Parking,Venta,Girona,152,1392168,2005-08-04,Pedro
675,676,2004-08-29,Casa,Venta,Girona,47,311563,2004-12-27,Carmen
677,678,2004-08-30,Industrial,Venta,Barcelona,225,1239300,2005-01-29,María
