,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
41,42,2004-01-19,Oficina,Venta,Tarragona,168,1426992,2004-11-20,Jesús
42,43,2004-01-19,Oficina,Alquiler,Girona,74,579716,2004-09-22,María
43,44,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16,María
44,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
45,46,2004-01-20,Oficina,Alquiler,Lleida,224,1294048,2004-10-29,Carmen
47,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
51,52,2004-01-22,Local,Alquiler,Lleida,206,1605564,2004-09-26,María
52,53,2004-01-22,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17,Carmen
56,57,2004-01-23,Oficina,Alquiler,Lleida,54,512730,2004-07-04,Carmen
57,58,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21,María
58,59,2004-01-24,Industrial,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
59,60,2004-01-24,Oficina,Alquiler,Lleida,270,1920240,2004-06-28,Jesús
60,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
61,62,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
64,65,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26,Luisa
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
69,70,2004-01-28,Casa,Alquiler,Tarragona,179,1647695,2004-07-12,María
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
73,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
75,76,2004-01-29,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28,Pedro
76,77,2004-01-30,Industrial,Alquiler,Tarragona,112,1104992,2004-06-25,Pedro
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
80,81,2004-02-01,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17,Pedro
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
97,98,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01,Carmen
98,99,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22,María
102,103,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19,María
103,104,2004-02-09,Oficina,Venta,Tarragona,104,699400,2004-07-14,Luisa
104,105,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02,Luisa
105,106,2004-02-10,Piso,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
106,107,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13,Jesús
107,108,2004-02-12,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20,Joaquín
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
111,112,2004-02-13,Local,Alquiler,Lleida,160,1064800,2004-09-22,Pedro
116,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
121,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
122,123,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30,Pedro
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
125,126,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31,María
126,127,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29,Jesús
127,128,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04,Luisa
128,129,2004-02-21,Parking,Alquiler,Lleida,206,1363926,2005-01-08,Carmen
129,130,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23,Luisa
131,132,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04,Jesús
133,134,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20,Joaquín
135,136,2004-02-23,Oficina,Alquiler,Lleida,105,624435,2004-06-24,Joaquín
139,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
141,142,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23,Pedro
142,143,2004-02-27,Oficina,Alquiler,Tarragona,134,1310520,2004-12-28,María
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
148,149,2004-02-29,Piso,Venta,Lleida,249,1492506,2005-02-12,Luisa
149,150,2004-03-01,Casa,Alquiler,Lleida,212,1800516,2004-12-19,Jesús
150,151,2004-03-01,Oficina,Alquiler,Lleida,128,1259904,2004-10-02,Luisa
151,152,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13,María
154,155,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02,Pedro
155,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
156,157,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02,María
160,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
161,162,2004-03-05,Piso,Alquiler,Lleida,251,1361675,2004-08-16,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
163,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13,Carmen
164,165,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11,Luisa
165,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
167,168,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15,Joaquín
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
173,174,2004-03-09,Piso,Alquiler,Lleida,143,1131416,2004-08-25,Joaquín
175,176,2004-03-10,Industrial,Alquiler,Lleida,193,1658835,2004-08-30,Jesús
176,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
179,180,2004-03-12,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21,Jesús
180,181,2004-03-12,Oficina,Venta,Tarragona,42,367584,2004-08-11,Joaquín
181,182,2004-03-13,Local,Alquiler,Tarragona,162,1323054,2004-08-25,Joaquín
182,183,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02,Carmen
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
197,198,2004-03-21,Oficina,Alquiler,Girona,174,720882,2004-08-14,Pedro
198,199,2004-03-21,Oficina,Venta,Lleida,177,842343,2005-03-10,María
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
205,206,2004-03-23,Piso,Alquiler,Lleida,250,2253500,2005-02-21,Joaquín
206,207,2004-03-23,Piso,Alquiler,Lleida,134,1338124,2004-08-19,Luisa
207,208,2004-03-23,Casa,Venta,Lleida,156,1369680,2004-09-27,Pedro
208,209,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21,María
209,210,2004-03-24,Oficina,Alquiler,Lleida,206,1297594,2005-03-03,Carmen
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
212,213,2004-03-26,Suelo,Alquiler,Lleida,223,1932518,2005-01-19,Pedro
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13,Pedro
215,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
216,217,2004-03-28,Industrial,Alquiler,Lleida,216,1398600,2004-11-03,Luisa
219,220,2004-03-30,Industrial,Alquiler,Lleida,209,1042283,2004-09-17,Jesús
223,224,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21,Luisa
224,225,2004-04-01,Parking,Alquiler,Barcelona,152,1069320,2004-12-15,Jesús
225,226,2004-04-01,Local,Alquiler,Tarragona,182,1133132,2004-08-29,Joaquín
226,227,2004-04-01,Casa,Venta,Lleida,179,1670965,2004-09-09,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
228,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
229,230,2004-04-02,Oficina,Alquiler,Tarragona,186,1382166,2005-03-01,Pedro
231,232,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03,María
232,233,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05,Joaquín
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
236,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
238,239,2004-04-05,Piso,Alquiler,Lleida,268,2338032,2005-01-02,Pedro
239,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
242,243,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31,Luisa
243,244,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22,María
244,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
245,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
246,247,2004-04-09,Industrial,Alquiler,Barcelona,159,1582527,2004-12-09,Jesús
248,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
250,251,2004-04-09,Suelo,Venta,Lleida,124,1130632,2005-01-22,Pedro
251,252,2004-04-09,Parking,Alquiler,Lleida,168,1622040,2004-10-15,María
255,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
256,257,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09,Carmen
257,258,2004-04-11,Suelo,Alquiler,Barcelona,242,1099648,2005-02-13,María
258,259,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26,Luisa
259,260,2004-04-12,Piso,Alquiler,Tarragona,258,1750014,2004-12-09,Luisa
260,261,2004-04-12,Casa,Alquiler,Lleida,201,1107108,2005-04-07,Joaquín
261,262,2004-04-12,Casa,Alquiler,Barcelona,181,1449629,2004-09-14,Luisa
262,263,2004-04-13,Oficina,Alquiler,Barcelona,244,1006988,2004-08-06,María
263,264,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02,Jesús
265,266,2004-04-14,Parking,Alquiler,Tarragona,216,1125792,2004-09-16,Jesús
266,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
269,270,2004-04-15,Parking,Alquiler,Tarragona,223,1342906,2004-10-31,Joaquín
270,271,2004-04-15,Local,Alquiler,Lleida,237,1093281,2005-01-02,Jesús
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
273,274,2004-04-15,Piso,Alquiler,Lleida,113,1102880,2005-03-17,Jesús
274,275,2004-04-16,Local,Alquiler,Girona,193,1079449,2004-11-20,Pedro
275,276,2004-04-17,Oficina,Alquiler,Girona,110,1039500,2004-11-17,Pedro
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
278,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26,María
279,280,2004-04-18,Oficina,Venta,Barcelona,154,881804,2004-08-25,Pedro
280,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
282,283,2004-04-18,Oficina,Alquiler,Tarragona,137,1336298,2004-11-27,Pedro
283,284,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20,Luisa
286,287,2004-04-19,Industrial,Alquiler,Barcelona,225,1360800,2004-07-22,Jesús
289,290,2004-04-20,Oficina,Alquiler,Girona,227,1437818,2005-03-27,Jesús
290,291,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11,Pedro
293,294,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
294,295,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21,Luisa
295,296,2004-04-22,Parking,Alquiler,Barcelona,235,1773780,2005-03-28,Pedro
296,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28,Pedro
300,301,2004-04-24,Casa,Alquiler,Tarragona,178,1458176,2005-02-12,Carmen
301,302,2004-04-24,Industrial,Alquiler,Girona,211,1171894,2005-03-22,Pedro
302,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
304,305,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18,Joaquín
305,306,2004-04-27,Piso,Venta,Lleida,142,1055912,2004-09-28,Jesús
306,307,2004-04-27,Industrial,Venta,Lleida,196,1645616,2005-04-14,Carmen
307,308,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16,Carmen
308,309,2004-04-28,Piso,Alquiler,Lleida,237,1763517,2004-09-06,Luisa
311,312,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07,Luisa
313,314,2004-04-30,Suelo,Alquiler,Tarragona,230,1386900,2005-03-21,Joaquín
314,315,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
316,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
319,320,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04,María
322,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
325,326,2004-05-04,Industrial,Alquiler,Barcelona,179,1227224,2004-10-08,Luisa
326,327,2004-05-04,Suelo,Venta,Tarragona,180,1022040,2005-03-28,Jesús
327,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
328,329,2004-05-04,Industrial,Venta,Lleida,285,1922325,2004-11-11,María
329,330,2004-05-05,Parking,Alquiler,Girona,125,1189250,2004-10-26,Pedro
333,334,2004-05-07,Industrial,Alquiler,Tarragona,242,2110966,2005-01-22,Pedro
335,336,2004-05-07,Local,Alquiler,Tarragona,227,1394461,2005-01-28,María
336,337,2004-05-08,Oficina,Venta,Girona,102,413610,2004-09-15,Pedro
337,338,2004-05-08,Oficina,Alquiler,Barcelona,41,361661,2005-01-28,Carmen
340,341,2004-05-10,Casa,Venta,Tarragona,229,1990697,2004-11-02,Pedro
341,342,2004-05-10,Local,Alquiler,Lleida,259,1992228,2004-12-21,Pedro
342,343,2004-05-10,Parking,Venta,Barcelona,175,1178100,2004-11-12,Luisa
343,344,2004-05-10,Casa,Venta,Barcelona,146,1083466,2004-09-19,Jesús
344,345,2004-05-11,Industrial,Alquiler,Tarragona,131,1263495,2005-01-01,Jesús
345,346,2004-05-11,Local,Venta,Tarragona,202,1320676,2004-12-23,Pedro
347,348,2004-05-11,Oficina,Alquiler,Girona,187,1560889,2005-03-26,Joaquín
348,349,2004-05-12,Parking,Venta,Tarragona,234,1398852,2004-11-01,María
349,350,2004-05-13,Oficina,Venta,Girona,103,680830,2004-09-21,María
351,352,2004-05-14,Casa,Venta,Tarragona,241,2060550,2004-10-10,Luisa
352,353,2004-05-14,Piso,Alquiler,Tarragona,257,1980185,2004-08-14,Carmen
354,355,2004-05-14,Oficina,Alquiler,Tarragona,209,1181686,2004-10-15,Carmen
356,357,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19,Pedro
357,358,2004-05-15,Piso,Venta,Barcelona,131,1180048,2004-11-04,Joaquín
358,359,2004-05-15,Parking,Venta,Lleida,130,1176630,2005-03-18,Jesús
360,361,2004-05-17,Local,Venta,Lleida,291,1505925,2005-03-10,Luisa
363,364,2004-05-18,Local,Venta,Lleida,267,1257036,2004-12-26,Luisa
365,366,2004-05-18,Oficina,Venta,Lleida,137,961192,2005-05-10,Jesús
368,369,2004-05-19,Casa,Alquiler,Barcelona,149,1238339,2004-12-27,Luisa
369,370,2004-05-19,Suelo,Alquiler,Tarragona,285,1377975,2004-09-14,Jesús
370,371,2004-05-20,Oficina,Venta,Barcelona,230,1109980,2004-12-08,Luisa
371,372,2004-05-20,Parking,Alquiler,Lleida,163,1317529,2005-05-03,Luisa
374,375,2004-05-22,Local,Venta,Tarragona,230,1398630,2005-04-10,María
375,376,2004-05-23,Industrial,Alquiler,Lleida,247,1210053,2004-09-04,Jesús
376,377,2004-05-24,Oficina,Alquiler,Barcelona,105,525210,2005-04-16,Pedro
377,378,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17,María
379,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
381,382,2004-05-26,Suelo,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
382,383,2004-05-26,Industrial,Alquiler,Lleida,298,1331166,2004-12-28,Joaquín
383,384,2004-05-26,Parking,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
384,385,2004-05-26,Parking,Venta,Barcelona,197,1746405,2005-03-20,Luisa
386,387,2004-05-27,Oficina,Venta,Barcelona,119,486472,2004-09-04,Joaquín
388,389,2004-05-29,Oficina,Alquiler,Tarragona,196,882784,2005-02-02,Luisa
390,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
391,392,2004-05-30,Piso,Alquiler,Barcelona,202,1560450,2005-02-06,Jesús
392,393,2004-05-31,Piso,Venta,Girona,225,1164375,2005-03-04,Pedro
394,395,2004-05-31,Casa,Alquiler,Girona,192,1159296,2005-05-23,Carmen
395,396,2004-05-31,Parking,Alquiler,Lleida,296,1602544,2004-09-07,Jesús
399,400,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22,Carmen
400,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
401,402,2004-06-02,Industrial,Alquiler,Lleida,278,2188138,2005-01-21,María
404,405,2004-06-03,Local,Venta,Tarragona,224,1804992,2005-01-20,Jesús
405,406,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23,Carmen
406,407,2004-06-03,Industrial,Venta,Barcelona,162,1383480,2004-12-16,María
408,409,2004-06-04,Parking,Venta,Girona,293,1750089,2005-04-05,Luisa
411,412,2004-06-05,Local,Venta,Girona,148,1268952,2004-10-14,María
412,413,2004-06-05,Piso,Alquiler,Tarragona,189,1527498,2005-05-14,Luisa
415,416,2004-06-07,Oficina,Alquiler,Lleida,201,1287807,2004-09-11,Carmen
416,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
417,418,2004-06-07,Industrial,Alquiler,Girona,287,2452989,2005-01-26,Joaquín
419,420,2004-06-08,Piso,Alquiler,Lleida,114,1019160,2005-05-29,Carmen
420,421,2004-06-09,Suelo,Venta,Barcelona,135,1209735,2005-05-05,Pedro
422,423,2004-06-09,Local,Alquiler,Barcelona,260,1090180,2004-12-16,Luisa
423,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
424,425,2004-06-09,Casa,Venta,Girona,173,1117753,2004-12-11,María
425,426,2004-06-09,Oficina,Alquiler,Lleida,207,1042659,2004-10-12,Jesús
428,429,2004-06-11,Parking,Alquiler,Tarragona,271,2190493,2004-11-02,Jesús
429,430,2004-06-11,Oficina,Venta,Tarragona,249,1388175,2004-10-29,Luisa
430,431,2004-06-11,Suelo,Alquiler,Tarragona,153,1116441,2004-12-19,Jesús
431,432,2004-06-12,Oficina,Alquiler,Lleida,205,1980300,2005-01-01,Joaquín
433,434,2004-06-13,Local,Alquiler,Tarragona,246,1898628,2004-12-15,Joaquín
434,435,2004-06-13,Industrial,Alquiler,Girona,233,1541528,2005-02-03,Jesús
437,438,2004-06-14,Oficina,Venta,Barcelona,158,1543344,2004-12-26,Luisa
438,439,2004-06-15,Oficina,Alquiler,Girona,298,2524358,2004-10-23,Luisa
439,440,2004-06-15,Parking,Venta,Barcelona,115,1077665,2004-09-19,Jesús
442,443,2004-06-17,Piso,Alquiler,Girona,245,1001070,2004-10-14,Jesús
443,444,2004-06-17,Parking,Venta,Barcelona,102,1005312,2005-06-09,Luisa
446,447,2004-06-17,Parking,Alquiler,Lleida,263,1779458,2005-01-24,Pedro
447,448,2004-06-17,Local,Alquiler,Girona,234,1159470,2004-10-02,Pedro
449,450,2004-06-18,Industrial,Alquiler,Lleida,248,1674744,2005-05-01,Luisa
450,451,2004-06-18,Oficina,Venta,Barcelona,54,406998,2005-04-25,Joaquín
451,452,2004-06-19,Suelo,Venta,Lleida,215,2097970,2004-11-13,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185,1616900,2005-04-08,Jesús
453,454,2004-06-19,Oficina,Alquiler,Barcelona,72,458568,2004-10-06,Luisa
454,455,2004-06-20,Parking,Alquiler,Barcelona,244,2439512,2005-01-02,Carmen
455,456,2004-06-20,Piso,Venta,Lleida,195,1797120,2004-12-31,María
458,459,2004-06-21,Oficina,Venta,Girona,107,590426,2004-11-03,María
459,460,2004-06-22,Oficina,Alquiler,Barcelona,77,322322,2005-03-12,Joaquín
461,462,2004-06-22,Oficina,Alquiler,Lleida,204,924732,2005-04-28,María
462,463,2004-06-23,Casa,Venta,Girona,214,1962380,2005-06-01,Pedro
464,465,2004-06-24,Industrial,Alquiler,Lleida,268,2628812,2005-03-15,Pedro
471,472,2004-06-25,Suelo,Venta,Tarragona,297,1820016,2005-01-08,María
473,474,2004-06-25,Suelo,Venta,Girona,199,1622646,2005-06-23,Jesús
475,476,2004-06-26,Oficina,Alquiler,Lleida,88,851488,2005-05-25,Carmen
478,479,2004-06-28,Oficina,Venta,Girona,232,1028224,2005-05-26,Luisa
480,481,2004-06-29,Oficina,Alquiler,Barcelona,257,1166780,2005-01-10,Jesús
481,482,2004-06-29,Industrial,Venta,Tarragona,243,1983123,2005-06-16,María
482,483,2004-06-29,Oficina,Venta,Lleida,134,946710,2005-01-04,Carmen
483,484,2004-06-30,Casa,Venta,Girona,153,1506438,2004-12-03,Luisa
484,485,2004-06-30,Piso,Alquiler,Tarragona,122,1093608,2005-02-27,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283,2199476,2005-06-04,Luisa
486,487,2004-06-30,Casa,Venta,Lleida,261,2475063,2005-01-21,Carmen
487,488,2004-07-01,Piso,Alquiler,Lleida,185,1306840,2005-05-17,Carmen
489,490,2004-07-02,Parking,Alquiler,Barcelona,234,1911312,2005-04-08,Luisa
491,492,2004-07-03,Local,Venta,Lleida,282,1298328,2005-03-10,Jesús
492,493,2004-07-03,Parking,Alquiler,Lleida,299,1948583,2004-12-21,María
493,494,2004-07-03,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
495,496,2004-07-03,Piso,Alquiler,Lleida,155,1166065,2004-12-07,Jesús
496,497,2004-07-03,Oficina,Venta,Girona,209,1316073,2005-04-02,Pedro
497,498,2004-07-03,Suelo,Alquiler,Tarragona,110,1004740,2005-07-03,Luisa
499,500,2004-07-04,Industrial,Alquiler,Lleida,240,2238000,2005-05-06,Pedro
501,502,2004-07-05,Piso,Alquiler,Lleida,224,2087904,2005-01-29,Jesús
503,504,2004-07-05,Oficina,Venta,Lleida,186,1216254,2005-04-09,María
505,506,2004-07-05,Industrial,Alquiler,Tarragona,235,1207195,2004-10-14,Luisa
506,507,2004-07-05,Industrial,Alquiler,Tarragona,159,1032546,2004-11-07,Carmen
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
509,510,2004-07-06,Industrial,Alquiler,Barcelona,227,1175860,2005-07-05,Joaquín
511,512,2004-07-06,Parking,Alquiler,Tarragona,239,1782940,2004-11-13,Joaquín
512,513,2004-07-06,Casa,Alquiler,Barcelona,191,1841622,2005-01-21,Jesús
514,515,2004-07-08,Oficina,Alquiler,Barcelona,47,262777,2004-12-22,Carmen
